X-Axis Elements (average_x, sigma_xx, sigma_yy):
1.164053, 0.219910, 2.749219
1.497861, 0.364248, 1.790354
1.831670, 0.265036, 1.401610
2.165478, 0.155451, 1.164128
2.499287, 0.064166, 0.964849
2.833096, 0.005472, 0.748049

Y-Axis Elements (average_y, sigma_xx, sigma_yy):
1.164053, -0.873157, 0.076842
1.497861, -0.227274, 0.264269
1.831670, 0.010748, 0.532277
2.165478, 0.171731, 0.740375
2.499287, 0.340650, 0.892974
2.833096, 0.568503, 0.984304
