Nodal displacements
node#      x          y          u          v
    1    1.000000    0.000000   -1.960578    0.000000
    2    1.081281    0.070871   -2.039418    0.233646
    3    1.166667    0.000000   -2.095274    0.000000
    4    1.248127    0.081807   -2.116403    0.192824
    5    1.333333    0.000000   -2.150636    0.000000
    6    1.414972    0.092742   -2.149409    0.173454
    7    1.500000    0.000000   -2.178652    0.000000
    8    1.581817    0.103678   -2.169158    0.164465
    9    1.666667    0.000000   -2.199232    0.000000
   10    1.748662    0.114613   -2.187240    0.160578
   11    1.833333    0.000000   -2.220178    0.000000
   12    1.915507    0.125549   -2.207901    0.158954
   13    2.000000    0.000000   -2.244342    0.000000
   14    2.082352    0.136485   -2.232343    0.157846
   15    2.166667    0.000000   -2.272402    0.000000
   16    2.249197    0.147420   -2.260411    0.155975
   17    2.333333    0.000000   -2.303995    0.000000
   18    2.416042    0.158356   -2.291260    0.152183
   19    2.500000    0.000000   -2.338141    0.000000
   20    2.582887    0.169291   -2.323582    0.145179
   21    2.666667    0.000000   -2.373326    0.000000
   22    2.749732    0.180227   -2.355593    0.133269
   23    2.833333    0.000000   -2.407351    0.000000
   24    2.916578    0.191163   -2.384863    0.113992
   25    3.000000    0.000000   -2.436961    0.000000
   26    0.991445    0.130526   -1.940852    0.527517
   27    1.064919    0.211826   -1.983205    0.699324
   28    1.158824    0.152562   -2.059731    0.414575
   29    1.233187    0.245296   -2.037438    0.580800
   30    1.326204    0.174598   -2.106917    0.361355
   31    1.401455    0.278767   -2.058768    0.525663
   32    1.493584    0.196634   -2.130403    0.336295
   33    1.569723    0.312237   -2.071858    0.500780
   34    1.660963    0.218670   -2.148085    0.325116
   35    1.737991    0.345708   -2.085268    0.490555
   36    1.828343    0.240706   -2.166684    0.320532
   37    1.906259    0.379178   -2.101586    0.486659
   38    1.995722    0.262742   -2.188405    0.318334
   39    2.074527    0.412649   -2.121020    0.484010
   40    2.163102    0.284778   -2.213514    0.315700
   41    2.242795    0.446120   -2.142770    0.478935
   42    2.330482    0.306814   -2.241359    0.310324
   43    2.411062    0.479590   -2.165585    0.468213
   44    2.497861    0.328850   -2.270781    0.299878
   45    2.579330    0.513061   -2.187983    0.448410
