X-Axis Elements (average_x, sigma_xx, sigma_yy):
1.082649, 0.198740, 3.356397
1.249376, 0.412031, 2.480680
1.416102, 0.431854, 1.999834
1.582828, 0.387271, 1.702487
1.749554, 0.323772, 1.498169
1.916280, 0.258064, 1.343490
2.083006, 0.196256, 1.215387
2.249732, 0.140495, 1.100177
2.416459, 0.091680, 0.988525
2.583185, 0.050729, 0.872790
2.749911, 0.019430, 0.745282
2.916637, 0.001358, 0.596715

Y-Axis Elements (average_y, sigma_xx, sigma_yy):
1.082649, -1.328793, -0.033983
1.249376, -0.681661, -0.007050
1.416102, -0.355277, 0.135703
1.582828, -0.165808, 0.295325
1.749554, -0.038598, 0.443404
1.916280, 0.060580, 0.573211
2.083006, 0.149438, 0.684658
2.249732, 0.238614, 0.779299
2.416459, 0.335926, 0.858458
2.583185, 0.448641, 0.922400
2.749911, 0.585073, 0.969670
2.916637, 0.756157, 0.996192
